p_DocCategories,p_HPES_Categories_Param2
EliteBook,19539216537429048012118866320194
TouchSmart,19539216537429048012118866320194
Notebook,19539216537429048012118866320194
ENVY,19539216537429048012118866320194
Pavilion,268161584258236861743175748903686
Photosmart,268161584258236861743175748903686
DesignJet,268161584258236861743175748903686
Officejet,268161584258236861743175748903686
Deskjet,268161584258236861743175748903686
Desktops,218999353636529622426797829401137
All-in-One,218999353636529622426797829401137
PC,218999353636529622426797829401137
TouchSmart,218999353636529622426797829401137
Elite,218999353636529622426797829401137
Desktop,218999353636529622426797829401137
ENVY,218999353636529622426797829401137
Pavilion,218999353636529622426797829401137
