kaas_DocSearchHPES_Promotion_query.c(10): Error -26627: HTTP Status-Code=404 (Not Found) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/search?q=buy battery&resultLimit=15&resultStart=0&languageCode=en&countryCode=us&promotions=true&store=promotions&filters=products:(NONE)%20AND%20NOT%20publicationdestination:(FindMyProduct)"  	[MsgId: MERR-26627]
Warning: Iteration pacing cannot be reached (pace time = 3.12, actual time = 6.78).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.20, actual time = 6.11).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.43, actual time = 6.89).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.29, actual time = 5.36).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.06, actual time = 3.16).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.64, actual time = 5.97).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.07, actual time = 9.96).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.64, actual time = 12.29).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.06, actual time = 13.95).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.58, actual time = 13.87).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.57, actual time = 12.51).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.10, actual time = 13.57).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.31, actual time = 14.21).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.97, actual time = 14.05).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.51, actual time = 15.49).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.80, actual time = 10.95).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.11, actual time = 14.64).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.04, actual time = 16.45).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.24, actual time = 15.04).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.08, actual time = 13.48).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.11, actual time = 15.41).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.28, actual time = 15.16).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.05, actual time = 11.27).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.00, actual time = 7.53).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.95, actual time = 11.44).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.18, actual time = 9.85).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.16, actual time = 11.89).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.30, actual time = 11.01).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.15, actual time = 9.57).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.35, actual time = 7.33).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.09, actual time = 7.54).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.08, actual time = 11.15).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.74, actual time = 7.81).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.22, actual time = 8.31).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.02, actual time = 6.36).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.38, actual time = 11.97).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.13, actual time = 5.47).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.23, actual time = 7.30).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.80, actual time = 10.54).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.74, actual time = 9.82).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.38, actual time = 8.97).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.11, actual time = 23.54).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.91, actual time = 24.42).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.71, actual time = 24.88).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.50, actual time = 23.87).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.21, actual time = 20.41).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.49, actual time = 18.71).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.31, actual time = 25.95).	[MsgId: MWAR-15995]
