Error: missing newline in E:\PERFORMANCE\GCC\Kaas\FY20_Release\Script\V1\Kaas_ContentRendering\p_ContentRendering.dat	[MsgId: MERR-13874]
Warning: Iteration pacing cannot be reached (pace time = 1.00, actual time = 12.46).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.00, actual time = 16.76).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.00, actual time = 20.37).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.00, actual time = 33.66).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.00, actual time = 5.84).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.00, actual time = 1.58).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.00, actual time = 7.14).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.00, actual time = 1.38).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.00, actual time = 1.02).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.00, actual time = 1.12).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.00, actual time = 1.42).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.00, actual time = 3.99).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.00, actual time = 1.50).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.00, actual time = 1.30).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.00, actual time = 1.63).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.00, actual time = 1.04).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.00, actual time = 1.56).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.00, actual time = 1.20).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.00, actual time = 22.21).	[MsgId: MWAR-15995]
KaaS_Content_Rendering_MetaData.c(10): Continuing after Error -26608: HTTP Status-Code=504 (Gateway Timeout) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/search?documentID=c05417875&resultLimit=1&resultStart=0&languageCode=ko,en&countryCode=6984892597308500812593&store=udp-content-default,docstore,manualstore,sdlmanualstore&printFields=documentID,filename,name,summary,objectname,dredbname,description,title,shortestnavigationpath,categorizations,ishType,searchable,languagedocmap"  	[MsgId: MERR-26608]
Warning: Iteration pacing cannot be reached (pace time = 1.00, actual time = 29.25).	[MsgId: MWAR-15995]
WISE_KaasContentRendering.c(10): Continuing after Error -26608: HTTP Status-Code=504 (Gateway Timeout) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/render/000akyaqsHMQ5vDL1j6yqp7pkbfS/ish_1867950-1870752-16"  	[MsgId: MERR-26608]
Warning: Iteration pacing cannot be reached (pace time = 1.00, actual time = 29.43).	[MsgId: MWAR-15995]
WISE_KaasContentRendering.c(10): Continuing after Error -26608: HTTP Status-Code=504 (Gateway Timeout) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/render/000akyaqsHMQ5vDL1j6yqp7pkbfS/ish_2341017-2340948-16"  	[MsgId: MERR-26608]
Warning: Iteration pacing cannot be reached (pace time = 1.00, actual time = 9.15).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.00, actual time = 13.54).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.00, actual time = 7.53).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.00, actual time = 34.65).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.00, actual time = 2.40).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.00, actual time = 2.59).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.00, actual time = 1.11).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.00, actual time = 1.48).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.00, actual time = 1.34).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.00, actual time = 1.70).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.00, actual time = 1.24).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.00, actual time = 1.38).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.00, actual time = 1.27).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.00, actual time = 4.30).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.00, actual time = 1.31).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.00, actual time = 1.07).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.00, actual time = 2.37).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.00, actual time = 1.05).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.00, actual time = 10.96).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.00, actual time = 14.34).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.00, actual time = 10.24).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.00, actual time = 3.03).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.00, actual time = 3.08).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.00, actual time = 1.33).	[MsgId: MWAR-15995]
