KaaS_Content_Rendering_MetaData.c(14): Error -26608: HTTP Status-Code=504 (Gateway Timeout) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/search?documentID=ish_1996955-1270281-16&resultLimit=1&resultStart=0&languageCode=ko,en&countryCode=6984892597308500812593&store=udp-content-default,docstore,manualstore,sdlmanualstore&printFields=documentID,filename,name,summary,objectname,dredbname,description,title,shortestnavigationpath,categorizations,ishType,searchable,languagedocmap"  	[MsgId: MERR-26608]
Warning: Iteration pacing cannot be reached (pace time = 1.90, actual time = 29.43).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.90, actual time = 2.59).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.90, actual time = 2.74).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.90, actual time = 2.33).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.90, actual time = 2.38).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.90, actual time = 2.73).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.90, actual time = 1.94).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.90, actual time = 1.95).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.90, actual time = 2.22).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.90, actual time = 2.69).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.90, actual time = 1.90).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.90, actual time = 2.19).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.90, actual time = 2.44).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.90, actual time = 2.39).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.90, actual time = 3.96).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.90, actual time = 9.48).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.90, actual time = 1.92).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.90, actual time = 9.29).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.90, actual time = 2.12).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.90, actual time = 2.64).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.90, actual time = 2.64).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.90, actual time = 2.34).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.90, actual time = 9.31).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.90, actual time = 1.90).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.90, actual time = 2.11).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.90, actual time = 2.26).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.90, actual time = 1.99).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.90, actual time = 2.39).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.90, actual time = 4.31).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.90, actual time = 4.34).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.90, actual time = 3.74).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.90, actual time = 2.33).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.90, actual time = 2.04).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.90, actual time = 2.57).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.90, actual time = 2.30).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.90, actual time = 2.75).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.90, actual time = 2.14).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.90, actual time = 2.53).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.90, actual time = 3.05).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.90, actual time = 2.26).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.90, actual time = 2.16).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.90, actual time = 9.36).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.90, actual time = 2.74).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.90, actual time = 2.12).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.90, actual time = 2.36).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.90, actual time = 2.42).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.90, actual time = 2.03).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.90, actual time = 2.36).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.90, actual time = 2.76).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.90, actual time = 2.61).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.90, actual time = 9.29).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.90, actual time = 1.98).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.90, actual time = 2.10).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.90, actual time = 3.71).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.90, actual time = 2.25).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.90, actual time = 2.49).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.90, actual time = 1.92).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.90, actual time = 3.28).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.90, actual time = 2.88).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.90, actual time = 2.25).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.90, actual time = 10.56).	[MsgId: MWAR-15995]
