KaaS_Content_Rendering_MetaData.c(14): Error -26608: HTTP Status-Code=504 (Gateway Timeout) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/search?documentID=ish_1996955-1270281-16&resultLimit=1&resultStart=0&languageCode=ko,en&countryCode=6984892597308500812593&store=udp-content-default,docstore,manualstore,sdlmanualstore&printFields=documentID,filename,name,summary,objectname,dredbname,description,title,shortestnavigationpath,categorizations,ishType,searchable,languagedocmap"  	[MsgId: MERR-26608]
Warning: Iteration pacing cannot be reached (pace time = 1.75, actual time = 29.27).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.75, actual time = 1.93).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.75, actual time = 1.94).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.75, actual time = 2.94).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.75, actual time = 2.50).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.75, actual time = 2.68).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.75, actual time = 1.81).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.75, actual time = 1.77).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.75, actual time = 6.88).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.75, actual time = 4.36).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.75, actual time = 14.44).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.75, actual time = 2.07).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.75, actual time = 3.58).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.75, actual time = 3.61).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.75, actual time = 1.80).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.75, actual time = 1.81).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.75, actual time = 6.02).	[MsgId: MWAR-15995]
