KaaS_Content_Rendering_MetaData.c(14): Error -26608: HTTP Status-Code=504 (Gateway Timeout) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/search?documentID=ish_1996955-1270281-16&resultLimit=1&resultStart=0&languageCode=ko,en&countryCode=6984892597308500812593&store=udp-content-default,docstore,manualstore,sdlmanualstore&printFields=documentID,filename,name,summary,objectname,dredbname,description,title,shortestnavigationpath,categorizations,ishType,searchable,languagedocmap"  	[MsgId: MERR-26608]
Warning: Iteration pacing cannot be reached (pace time = 1.50, actual time = 29.26).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.50, actual time = 1.50).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.50, actual time = 1.60).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.50, actual time = 1.64).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.50, actual time = 2.34).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.50, actual time = 2.00).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.50, actual time = 2.42).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.50, actual time = 1.75).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.50, actual time = 8.74).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.50, actual time = 4.47).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.50, actual time = 1.70).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.50, actual time = 2.03).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.50, actual time = 1.58).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.50, actual time = 1.57).	[MsgId: MWAR-15995]
WISE_KaasContentRendering.c(13): Error -26631: HTTP Status-Code=400 (Bad Request) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/render/000azFcgile7HePWv2W03A7tOtVs/CID0000001511"  	[MsgId: MERR-26631]
Warning: Iteration pacing cannot be reached (pace time = 1.50, actual time = 4.46).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.50, actual time = 2.12).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.50, actual time = 2.81).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.50, actual time = 4.77).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.50, actual time = 2.13).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.50, actual time = 1.61).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.50, actual time = 2.40).	[MsgId: MWAR-15995]
