kaas_DocSearchUDPES_Doc_Range.c(8): Error -26627: HTTP Status-Code=404 (Not Found) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/search?q=Calculator use &resultLimit=10&resultStart=0&regionCode=212299498967880112552079&languageCode=en&disclosureLevel=696531864679532034919979251200881,47406819852170807613486806879990,218620138892645155286800249901443,287477763180518087286275037723076,887243771386204747508092376253257,600096605536507071488362545356335&printFields=documentID,title,documenttype,renderlink,matchscore,description,contentupdatedate,language,disclosurelevel,store,docsource,documenttypedetails,topics,categorizations&store=docstore,manualstore,supportagentstore,manualagentstore,processagentstore,videostore,udp-content-default,sdlmanualstore&aggregations=producttopics,documenttype,disclosurelevel,regionCode,topissue&fromDate=2017-07-01&toDate=2018-12-18&spellCheck=3"  	[MsgId: MERR-26627]
Warning: Iteration pacing cannot be reached (pace time = 5.00, actual time = 5.42).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 5.00, actual time = 5.36).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 5.00, actual time = 5.27).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 5.00, actual time = 5.65).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 5.00, actual time = 5.30).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 5.00, actual time = 5.22).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 5.00, actual time = 5.86).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 5.00, actual time = 5.77).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 5.00, actual time = 5.12).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 5.00, actual time = 5.26).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 5.00, actual time = 5.61).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 5.00, actual time = 5.02).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 5.00, actual time = 5.80).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 5.00, actual time = 5.10).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 5.00, actual time = 5.92).	[MsgId: MWAR-15995]
