kaas_DocSearchUDPES_PDP_Topics_10.c(8): Error -27760: Request "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/search?q=*&resultLimit=10&resultStart=0&countryCode=162089707212699946554652&languageCode=en&disclosureLevel=696531864679532034919979251200881,47406819852170807613486806879990,218620138892645155286800249901443,287477763180518087286275037723076,887243771386204747508092376253257&printFields=documentID,title,documenttype,renderlink,matchscore,description,contentupdatedate,language,disclosurelevel,store,docsource,documenttypedetails,topics,filename,duration&topic=175513598973950797922021312691457,727118134876361637267272859691104,467249423806096122761263497662159&store=docstore,supportagentstore,udp-content-default&product=20283135,1849478,20283137,20283132,4321223,17034112,3769715,8386448&aggregations=producttopics" failed  	[MsgId: MERR-27760]
Warning: Iteration pacing cannot be reached (pace time = 6.25, actual time = 8.06).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.45, actual time = 7.31).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.59, actual time = 6.73).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 7.57, actual time = 8.74).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.04, actual time = 6.63).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.84, actual time = 7.16).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.89, actual time = 6.90).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 7.34, actual time = 8.27).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.17, actual time = 8.25).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 7.39, actual time = 8.53).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 7.24, actual time = 9.09).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 7.47, actual time = 11.63).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 7.46, actual time = 8.62).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.84, actual time = 10.76).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 7.17, actual time = 9.03).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.96, actual time = 7.13).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 7.31, actual time = 9.50).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.78, actual time = 8.64).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 7.53, actual time = 8.48).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.09, actual time = 10.36).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 7.62, actual time = 8.90).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 7.00, actual time = 12.15).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.59, actual time = 10.85).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.27, actual time = 7.57).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.12, actual time = 6.77).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 7.90, actual time = 11.55).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.74, actual time = 13.41).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.71, actual time = 8.18).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 7.31, actual time = 10.06).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 7.02, actual time = 9.91).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.28, actual time = 7.25).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 7.57, actual time = 8.47).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 7.73, actual time = 10.23).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 7.27, actual time = 16.56).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 7.58, actual time = 12.85).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.51, actual time = 13.28).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.15, actual time = 6.17).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.01, actual time = 7.57).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.38, actual time = 10.55).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 7.08, actual time = 8.01).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 7.42, actual time = 13.85).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 7.81, actual time = 8.04).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.38, actual time = 11.60).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.97, actual time = 8.18).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 7.27, actual time = 21.94).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.50, actual time = 10.72).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.33, actual time = 7.98).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.09, actual time = 11.72).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 7.52, actual time = 9.62).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.73, actual time = 10.87).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.96, actual time = 7.42).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.71, actual time = 9.21).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 7.21, actual time = 8.30).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.48, actual time = 6.82).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 7.98, actual time = 8.05).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.33, actual time = 6.82).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.21, actual time = 7.21).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.04, actual time = 8.61).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.95, actual time = 7.78).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.29, actual time = 8.98).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.69, actual time = 9.90).	[MsgId: MWAR-15995]
