BatchSearch_MultipleRequest.c(10): Error -26608: HTTP Status-Code=504 (Gateway Timeout) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/issueBatch/search"  	[MsgId: MERR-26608]
Warning: Iteration pacing cannot be reached (pace time = 3.40, actual time = 29.05).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.40, actual time = 4.32).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.40, actual time = 3.88).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.40, actual time = 3.55).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.40, actual time = 4.47).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.40, actual time = 4.69).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.40, actual time = 5.40).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.40, actual time = 5.83).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.40, actual time = 4.29).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.40, actual time = 4.58).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.40, actual time = 4.26).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.40, actual time = 3.57).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.40, actual time = 3.63).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.40, actual time = 3.83).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.40, actual time = 3.41).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.40, actual time = 3.60).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.40, actual time = 4.02).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.40, actual time = 3.75).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.40, actual time = 4.28).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.40, actual time = 4.47).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.40, actual time = 4.62).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.40, actual time = 4.74).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.40, actual time = 5.25).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.40, actual time = 4.74).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.40, actual time = 4.55).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.40, actual time = 4.60).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.40, actual time = 4.64).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.40, actual time = 4.87).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.40, actual time = 4.45).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.40, actual time = 4.17).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.40, actual time = 4.29).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.40, actual time = 4.05).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.40, actual time = 4.42).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.40, actual time = 3.88).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.40, actual time = 5.30).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.40, actual time = 5.97).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.40, actual time = 5.71).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.40, actual time = 5.59).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.40, actual time = 5.43).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.40, actual time = 4.61).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.40, actual time = 4.43).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.40, actual time = 4.22).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.40, actual time = 3.98).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.40, actual time = 3.94).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.40, actual time = 4.21).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.40, actual time = 4.25).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.40, actual time = 4.23).	[MsgId: MWAR-15995]
