ProductInfoAggregation.c(8): Error -27760: Request "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/search?q=*&resultLimit=1&resultStart=0&languageCode=en&countryCode=162089707212699946554652&store=udp-content-default,docstore&product=28680721&contentTypes=How To,Product Specifications,Compatibility,Recycle,Parts,Warranty or Legal Statement,Safety and Regulatory,Product Change Notification,FAQ&aggregations=producttopics" failed  	[MsgId: MERR-27760]
Warning: Iteration pacing cannot be reached (pace time = 4.10, actual time = 5.16).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 4.10, actual time = 4.61).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 4.10, actual time = 4.68).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 4.10, actual time = 4.12).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 4.10, actual time = 4.71).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 4.10, actual time = 4.16).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 4.10, actual time = 5.53).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 4.10, actual time = 6.45).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 4.10, actual time = 7.38).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 4.10, actual time = 7.35).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 4.10, actual time = 6.07).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 4.10, actual time = 5.72).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 4.10, actual time = 8.87).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 4.10, actual time = 5.21).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 4.10, actual time = 6.18).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 4.10, actual time = 6.86).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 4.10, actual time = 4.99).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 4.10, actual time = 9.79).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 4.10, actual time = 5.55).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 4.10, actual time = 5.21).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 4.10, actual time = 8.32).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 4.10, actual time = 5.00).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 4.10, actual time = 4.97).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 4.10, actual time = 6.88).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 4.10, actual time = 7.26).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 4.10, actual time = 7.47).	[MsgId: MWAR-15995]
