ProductInfoAggregation.c(8): Error -27760: Request "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/search?q=*&resultLimit=1&resultStart=0&languageCode=en&countryCode=162089707212699946554652&store=udp-content-default,docstore&product=9822172&contentTypes=How To,Product Specifications,Compatibility,Recycle,Parts,Warranty or Legal Statement,Safety and Regulatory,Product Change Notification,FAQ&aggregations=producttopics" failed  	[MsgId: MERR-27760]
Warning: Iteration pacing cannot be reached (pace time = 2.00, actual time = 2.73).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 2.00, actual time = 2.43).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 2.00, actual time = 2.40).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 2.00, actual time = 2.53).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 2.00, actual time = 2.18).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 2.00, actual time = 4.50).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 2.00, actual time = 2.17).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 2.00, actual time = 2.33).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 2.00, actual time = 2.75).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 2.00, actual time = 4.79).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 2.00, actual time = 2.81).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 2.00, actual time = 2.78).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 2.00, actual time = 2.26).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 2.00, actual time = 2.25).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 2.00, actual time = 2.55).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 2.00, actual time = 2.03).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 2.00, actual time = 2.90).	[MsgId: MWAR-15995]
